label,os,is_mobile,country,pageviews
0,iOS,true,Mexico,1
0,iOS,true,Mexico,1
0,iOS,true,Australia,1
0,iOS,true,Japan,2
0,iOS,true,Vietnam,2
0,iOS,true,Algeria,2
0,iOS,true,United States,3
0,iOS,true,Denmark,3
0,iOS,true,United States,3
0,iOS,true,United States,7
0,iOS,true,United States,4
0,iOS,true,Canada,4
0,iOS,true,United States,4
0,iOS,true,United States,5
0,iOS,true,Argentina,9
0,iOS,true,Brazil,7
0,iOS,true,United States,7
0,iOS,true,United States,8
0,iOS,true,United States,10
0,iOS,true,United States,10
0,iOS,true,Germany,10
0,iOS,true,United States,9
0,iOS,true,United States,15
1,iOS,true,United States,37
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,United States,2
0,iOS,true,Australia,2
0,iOS,true,Germany,2
0,iOS,true,United States,2
0,iOS,true,Netherlands,2
0,iOS,true,Colombia,2
0,iOS,true,United States,3
0,iOS,true,Australia,3
0,iOS,true,Belgium,3
0,iOS,true,United States,3
0,iOS,true,United States,2
0,iOS,true,United States,3
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Canada,4
0,iOS,true,Brazil,4
0,iOS,true,United States,4
0,iOS,true,United States,4
0,iOS,true,Canada,4
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,Morocco,5
0,iOS,true,United States,3
0,iOS,true,Singapore,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,3
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,5
0,iOS,true,United States,3
0,iOS,true,United Kingdom,5
0,iOS,true,United States,5
0,iOS,true,Philippines,5
0,iOS,true,United States,6
0,iOS,true,United States,7
0,iOS,true,Japan,5
0,iOS,true,United States,7
0,iOS,true,United States,10
0,iOS,true,United States,11
0,iOS,true,United States,9
0,iOS,true,Japan,12
0,iOS,true,United States,8
0,iOS,true,Australia,10
0,iOS,true,United States,12
0,iOS,true,United States,12
1,iOS,true,United States,13
0,iOS,true,United States,16
0,iOS,true,United States,15
0,iOS,true,United States,20
0,iOS,true,United States,18
0,iOS,true,United States,26
0,iOS,true,United States,28
0,iOS,true,Taiwan,31
0,iOS,true,France,1
0,iOS,true,United States,1
0,iOS,true,Brazil,1
0,iOS,true,Morocco,1
0,iOS,true,China,1
0,iOS,true,France,1
0,iOS,true,Netherlands,1
0,iOS,true,Austria,1
0,iOS,true,Germany,1
0,iOS,true,United States,1
0,iOS,true,France,1
0,iOS,true,Saudi Arabia,1
0,iOS,true,United States,1
0,iOS,true,Australia,1
0,iOS,true,Singapore,1
0,iOS,true,Spain,1
0,iOS,true,India,1
0,iOS,true,Netherlands,1
0,iOS,true,Japan,1
0,iOS,true,Denmark,1
0,iOS,true,Australia,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Singapore,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Japan,1
0,iOS,true,Canada,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,Taiwan,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,China,1
0,iOS,true,United States,1
0,iOS,true,Jersey,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United Kingdom,1
0,iOS,true,Hong Kong,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
0,iOS,true,United States,1
